PLAYER NAME,AVG_ROUND_3_SCORING_AVERAGE,TOTAL STROKES_ROUND_3_SCORING_AVERAGE,TOTAL ROUNDS_ROUND_3_SCORING_AVERAGE,YEAR,AVG_SCORING_AVERAGE_BEFORE_CUT,TOTAL STROKES_SCORING_AVERAGE_BEFORE_CUT,TOTAL ROUNDS_SCORING_AVERAGE_BEFORE_CUT,ROUNDS_PUTTING,AVERAGE_PUTTING,TOTAL SG:PUTTING_PUTTING,MEASURED ROUNDS_PUTTING,ROUNDS_OFF-THE-TEE,AVERAGE_OFF-THE-TEE,TOTAL SG:OTT_OFF-THE-TEE,MEASURED ROUNDS_OFF-THE-TEE,ROUNDS_TEE-TO-GREEN,AVERAGE_TEE-TO-GREEN,SG:OTT_TEE-TO-GREEN,SG:APR_TEE-TO-GREEN,SG:ARG_TEE-TO-GREEN,MEASURED ROUNDS_TEE-TO-GREEN,AVG_FINAL_ROUND_SCORING_AVERAGE,TOTAL STROKES_FINAL_ROUND_SCORING_AVERAGE,TOTAL ROUNDS_FINAL_ROUND_SCORING_AVERAGE,ROUNDS_AROUND-THE-GREEN,AVERAGE_AROUND-THE-GREEN,TOTAL SG:ARG_AROUND-THE-GREEN,MEASURED ROUNDS_AROUND-THE-GREEN,ROUNDS_APPROACH-THE-GREEN,AVERAGE_APPROACH-THE-GREEN,TOTAL SG:APP_APPROACH-THE-GREEN,MEASURED ROUNDS_APPROACH-THE-GREEN,TOP 10_TOP_10_FINISHES,1ST_TOP_10_FINISHES,2ND_TOP_10_FINISHES,3RD_TOP_10_FINISHES,MONEY_CAREER_MONEY_LEADERS,RANK_OFFICIAL_WORLD_GOLF_RANKING,ROWAN SCORE,ALL-AROUND_RANKING_DIFF,OFFICIAL_WORLD_GOLF_RANKING_DIFF
Justin Leonard,67.0,335,5,2009,69.81,1117,16,29.0,-0.377,-8.285,22.0,29.0,0.061,1.352,22.0,29.0,1.213,0.061,0.674,0.478,22.0,71.4,357.0,5.0,29.0,0.478,10.512,22.0,95.0,0.547,41.009,75.0,3.0,0.0,0.0,0.0,29341837.0,26.0,0.0,-45.0,-5.039999999999992
Zach Johnson,67.6,338,5,2009,70.43,986,14,26.0,0.425,10.202,24.0,26.0,0.145,3.489,24.0,26.0,1.066,0.145,0.892,0.029,24.0,68.6,343.0,5.0,26.0,0.029,0.69,24.0,94.0,0.844,66.714,79.0,3.0,1.0,0.0,1.0,16975649.0,24.0,-2.0,-32.0,14.560000000000002
Chez Reavie,67.75,271,4,2009,71.65,1433,20,27.0,-0.317,-6.031,19.0,27.0,-0.244,-4.643,19.0,27.0,-0.187,-0.244,0.014,0.043,19.0,70.5,282.0,4.0,27.0,0.043,0.814,19.0,81.0,-0.109,-7.598,70.0,0.0,0.0,0.0,0.0,1929708.0,242.0,0.0,-45.0,-2.539999999999999
Geoff Ogilvy,68.0,408,6,2009,68.5,822,12,30.0,0.972,23.338,24.0,30.0,0.301,7.213,24.0,30.0,0.631,0.301,-0.149,0.479,24.0,71.83,431.0,6.0,30.0,0.479,11.507,24.0,78.0,-0.02,-1.134,58.0,3.0,2.0,0.0,0.0,20172895.0,4.0,-22.0,-104.0,-0.3100000000000023
Steve Stricker,68.0,340,5,2009,68.38,1094,16,27.0,-0.135,-2.961,22.0,27.0,-0.036,-0.793,22.0,27.0,1.413,-0.036,1.195,0.254,22.0,70.2,351.0,5.0,27.0,0.254,5.581,22.0,81.0,1.018,63.124,62.0,3.0,0.0,1.0,1.0,23476520.0,12.0,-27.0,-40.0,-0.8199999999999932
D.J. Trahan,68.5,548,8,2009,69.62,1462,21,34.0,-0.352,-10.207,29.0,34.0,0.831,24.104,29.0,34.0,1.192,0.831,0.745,-0.384,29.0,69.63,557.0,8.0,34.0,-0.384,-11.137,29.0,96.0,0.369,29.5,80.0,2.0,0.0,0.0,0.0,6338424.0,68.0,-5.0,10.0,-3.3200000000000074
Dustin Johnson,68.67,412,6,2009,69.79,1326,19,29.0,-0.02,-0.434,22.0,29.0,0.195,4.288,22.0,29.0,0.803,0.195,0.332,0.276,22.0,70.17,421.0,6.0,29.0,0.276,6.078,22.0,85.0,0.175,11.212,64.0,2.0,1.0,0.0,0.0,4767795.0,40.0,-9.0,-27.0,-1.730000000000004
Phil Mickelson,68.75,275,4,2009,71.08,924,13,22.0,-0.173,-2.773,16.0,22.0,0.101,1.613,16.0,22.0,1.33,0.101,0.321,0.908,16.0,71.75,287.0,4.0,22.0,0.908,14.532,16.0,66.0,0.268,12.87,48.0,3.0,2.0,0.0,0.0,55855656.0,2.0,-36.0,-12.0,-20.25999999999999
Fred Couples,68.8,344,5,2009,70.88,1205,17,24.0,0.059,1.058,18.0,24.0,0.192,3.447,18.0,24.0,0.506,0.192,0.224,0.091,18.0,72.6,363.0,5.0,24.0,0.091,1.634,18.0,54.0,0.348,14.606,42.0,2.0,0.0,0.0,2.0,21319451.0,79.0,0.0,-33.0,17.58
Luke Donald,68.8,344,5,2009,69.75,837,12,25.0,1.005,21.095,21.0,25.0,-0.399,-8.389,21.0,25.0,0.464,-0.399,0.774,0.089,21.0,70.2,351.0,5.0,25.0,0.089,1.877,21.0,79.0,0.426,25.981,61.0,3.0,0.0,0.0,0.0,14999961.0,34.0,-7.0,-17.0,-7.3500000000000085
K.J. Choi,69.0,345,5,2009,71.33,1070,15,24.0,0.032,0.673,21.0,24.0,0.097,2.033,21.0,24.0,0.34,0.097,-0.055,0.299,21.0,69.6,348.0,5.0,24.0,0.299,6.278,21.0,65.0,-0.002,-0.11,50.0,1.0,0.0,0.0,1.0,19770145.0,23.0,0.0,68.0,-13.5
Kenny Perry,69.13,553,8,2009,69.12,1175,17,32.0,0.262,7.586,29.0,32.0,0.772,22.378,29.0,32.0,1.402,0.772,0.596,0.034,29.0,69.88,559.0,8.0,32.0,0.034,0.997,29.0,92.0,0.414,30.21,73.0,5.0,1.0,0.0,0.0,30642004.0,11.0,-29.0,15.0,3.6499999999999773
Mathew Goggin,69.4,347,5,2009,69.82,1187,17,26.0,-0.199,-3.573,18.0,26.0,0.608,10.952,18.0,26.0,1.506,0.608,0.786,0.112,18.0,70.2,351.0,5.0,26.0,0.112,2.01,18.0,76.0,-0.036,-2.137,60.0,2.0,0.0,0.0,0.0,6522814.0,52.0,0.0,-18.0,8.379999999999981
Ángel Cabrera,69.5,139,2,2009,72.4,724,10,15.0,-0.363,-5.083,14.0,15.0,0.557,7.803,14.0,15.0,0.394,0.557,0.003,-0.166,14.0,67.0,134.0,2.0,15.0,-0.166,-2.329,14.0,55.0,0.295,11.228,38.0,0.0,0.0,0.0,0.0,7856083.0,69.0,-40.0,48.0,-9.039999999999992
Ken Duke,69.5,278,4,2009,71.84,1365,19,24.0,-0.998,-18.96,19.0,24.0,0.045,0.863,19.0,24.0,0.121,0.045,0.047,0.029,19.0,70.75,283.0,4.0,24.0,0.029,0.548,19.0,87.0,-0.04,-2.834,71.0,0.0,0.0,0.0,0.0,5020414.0,112.0,-6.0,70.0,-4.070000000000007
Mike Weir,69.6,348,5,2009,69.27,1039,15,23.0,0.56,9.52,17.0,23.0,-0.251,-4.266,17.0,23.0,-0.209,-0.251,-0.138,0.18,17.0,71.6,358.0,5.0,23.0,0.18,3.067,17.0,85.0,0.229,15.357,67.0,2.0,0.0,1.0,1.0,26239545.0,19.0,-9.0,-6.0,-6.510000000000019
Chad Campbell,69.86,489,7,2009,70.33,1266,18,31.0,-0.067,-1.597,24.0,31.0,0.098,2.359,24.0,31.0,0.531,0.098,0.551,-0.118,24.0,71.0,497.0,7.0,31.0,-0.118,-2.83,24.0,90.0,0.635,45.082,71.0,1.0,0.0,0.0,0.0,18310841.0,76.0,-28.0,12.0,-0.20000000000000284
John Merrick,69.88,559,8,2009,69.91,1538,22,37.0,0.084,2.097,25.0,37.0,0.336,8.395,25.0,37.0,-0.052,0.336,-0.032,-0.355,25.0,71.25,570.0,8.0,37.0,-0.355,-8.887,25.0,91.0,-0.082,-5.581,68.0,2.0,0.0,1.0,0.0,3400335.0,124.0,-33.0,-30.0,-0.480000000000004
Briny Baird,70.0,630,9,2009,69.14,1521,22,39.0,-0.301,-9.332,31.0,39.0,0.231,7.151,31.0,39.0,1.018,0.231,0.558,0.23,31.0,72.0,648.0,9.0,39.0,0.23,7.121,31.0,89.0,0.515,37.087,72.0,1.0,0.0,0.0,0.0,10784888.0,118.0,0.0,-37.0,-1.240000000000009
Anthony Kim,70.0,210,3,2009,70.63,565,8,16.0,0.341,4.776,14.0,16.0,-0.553,-7.745,14.0,16.0,0.114,-0.553,0.53,0.137,14.0,72.0,216.0,3.0,16.0,0.137,1.921,14.0,76.0,0.1,6.02,60.0,1.0,0.0,1.0,0.0,8511682.0,14.0,-19.0,-79.0,-7.3799999999999955
Sean O'Hair,70.17,421,6,2009,69.27,1039,15,29.0,0.383,8.818,23.0,29.0,0.684,15.726,23.0,29.0,1.373,0.684,0.807,-0.118,23.0,69.0,414.0,6.0,29.0,-0.118,-2.723,23.0,80.0,0.796,46.178,58.0,4.0,0.0,1.0,0.0,12200445.0,28.0,-33.0,-48.0,29.310000000000002
Camilo Villegas,70.25,281,4,2009,70.0,840,12,23.0,-0.44,-8.351,19.0,23.0,0.465,8.831,19.0,23.0,1.19,0.465,0.45,0.275,19.0,72.25,289.0,4.0,23.0,0.275,5.234,19.0,76.0,0.474,26.522,56.0,3.0,0.0,0.0,1.0,10090978.0,10.0,-26.0,12.0,-8.549999999999983
Adam Scott,70.33,211,3,2009,71.9,719,10,17.0,-0.543,-8.684,16.0,17.0,-0.157,-2.505,16.0,17.0,0.449,-0.157,0.076,0.529,16.0,68.33,205.0,3.0,17.0,0.529,8.466,16.0,53.0,-0.045,-1.905,42.0,1.0,0.0,1.0,0.0,19152699.0,22.0,-1.0,23.0,-10.620000000000005
Ernie Els,70.5,423,6,2009,70.08,841,12,28.0,-0.278,-6.683,24.0,28.0,0.643,15.436,24.0,28.0,1.425,0.643,0.649,0.133,24.0,68.33,410.0,6.0,28.0,0.133,3.182,24.0,70.0,0.722,38.969,54.0,2.0,0.0,0.0,0.0,35810558.0,16.0,-2.0,-67.0,-9.300000000000011
Kevin Sutherland,70.5,564,8,2009,70.58,1341,19,33.0,0.319,8.301,26.0,33.0,0.388,10.083,26.0,33.0,0.354,0.388,-0.081,0.047,26.0,71.25,570.0,8.0,33.0,0.047,1.223,26.0,96.0,0.013,0.972,73.0,0.0,0.0,0.0,0.0,14303812.0,60.0,-8.0,-48.0,1.5900000000000034
Pat Perez,70.86,496,7,2009,69.16,1314,19,32.0,0.983,23.596,24.0,32.0,0.163,3.908,24.0,32.0,0.239,0.163,-0.064,0.14,24.0,70.29,492.0,7.0,32.0,0.14,3.371,24.0,74.0,-0.129,-7.984,62.0,2.0,1.0,0.0,0.0,9885880.0,49.0,0.0,-29.0,8.939999999999998
Stephen Ames,71.0,284,4,2009,70.21,983,14,23.0,0.423,7.615,18.0,23.0,0.014,0.25,18.0,23.0,-0.204,0.014,0.151,-0.368,18.0,69.25,277.0,4.0,23.0,-0.368,-6.629,18.0,77.0,0.236,13.448,57.0,1.0,0.0,0.0,0.0,17722615.0,44.0,-16.0,48.0,-3.799999999999997
Aaron Baddeley,71.0,284,4,2009,71.82,790,11,20.0,0.612,11.015,18.0,20.0,-0.575,-10.357,18.0,20.0,-0.901,-0.575,-0.752,0.426,18.0,71.5,286.0,4.0,20.0,0.426,7.675,18.0,66.0,-0.507,-29.417,58.0,0.0,0.0,0.0,0.0,10124148.0,55.0,-21.0,99.0,-7.820000000000007
Hunter Mahan,71.0,497,7,2009,70.67,1060,15,29.0,-0.011,-0.257,24.0,29.0,0.564,13.526,24.0,29.0,1.185,0.564,0.5,0.122,24.0,70.14,491.0,7.0,29.0,0.122,2.927,24.0,94.0,0.561,42.084,75.0,1.0,0.0,0.0,0.0,10625610.0,46.0,-26.0,-51.0,5.230000000000004
Andres Romero,71.0,284,4,2009,71.75,861,12,21.0,-0.413,-8.26,20.0,21.0,0.308,6.161,20.0,21.0,-0.261,0.308,-0.62,0.051,20.0,70.75,283.0,4.0,21.0,0.051,1.023,20.0,58.0,-0.521,-22.385,43.0,1.0,0.0,0.0,1.0,3627555.0,42.0,-8.0,-64.0,-8.700000000000017
Boo Weekley,71.0,426,6,2009,70.58,847,12,26.0,-0.838,-20.113,24.0,26.0,0.525,12.606,24.0,26.0,0.715,0.525,0.135,0.054,24.0,73.0,438.0,6.0,26.0,0.054,1.295,24.0,79.0,0.301,19.54,65.0,1.0,0.0,0.0,0.0,6214616.0,64.0,0.0,39.0,-7.920000000000002
Nick Watney,71.13,569,8,2009,68.42,1300,19,32.0,0.496,12.892,26.0,32.0,0.917,23.848,26.0,32.0,1.616,0.917,0.666,0.033,26.0,68.75,550.0,8.0,32.0,0.033,0.856,26.0,86.0,0.345,23.431,68.0,3.0,1.0,1.0,0.0,7860664.0,35.0,-12.0,-87.0,15.379999999999995
Carl Pettersson,71.17,427,6,2009,71.94,1295,18,30.0,0.157,4.541,29.0,30.0,-0.352,-10.199,29.0,30.0,-0.601,-0.352,-0.097,-0.152,29.0,71.17,427.0,6.0,30.0,-0.152,-4.415,29.0,86.0,-0.423,-31.338,74.0,0.0,0.0,0.0,0.0,12126679.0,78.0,0.0,-15.0,-6.429999999999993
Stewart Cink,71.2,356,5,2009,70.58,847,12,28.0,-0.318,-6.99,22.0,28.0,0.198,4.352,22.0,28.0,0.251,0.198,0.166,-0.113,22.0,72.0,360.0,5.0,28.0,-0.113,-2.482,22.0,79.0,-0.041,-2.427,59.0,1.0,0.0,0.0,1.0,27877024.0,18.0,-3.0,-107.0,-8.359999999999985
Rory Sabbatini,71.2,356,5,2009,70.83,850,12,23.0,0.264,5.546,21.0,23.0,0.17,3.56,21.0,23.0,0.662,0.17,0.254,0.239,21.0,69.0,345.0,5.0,23.0,0.239,5.014,21.0,81.0,0.452,30.305,67.0,1.0,0.0,0.0,0.0,20368555.0,47.0,-21.0,-25.0,-11.840000000000003
Bubba Watson,71.2,356,5,2009,69.72,1255,18,27.0,0.288,6.633,23.0,27.0,0.277,6.38,23.0,27.0,0.011,0.277,-0.213,-0.054,23.0,71.2,356.0,5.0,27.0,-0.054,-1.23,23.0,73.0,0.037,2.1,57.0,1.0,0.0,0.0,0.0,5637837.0,129.0,-5.0,-12.0,-3.9499999999999886
Ryuji Imada,71.25,570,8,2009,69.7,1394,20,35.0,0.303,9.402,31.0,35.0,-0.464,-14.399,31.0,35.0,0.385,-0.464,0.271,0.579,31.0,70.88,567.0,8.0,35.0,0.579,17.933,31.0,85.0,-0.252,-17.404,69.0,0.0,0.0,0.0,0.0,6826583.0,73.0,-17.0,-46.0,-0.28000000000000114
Justin Rose,71.33,214,3,2009,72.38,579,8,15.0,0.545,7.626,14.0,15.0,0.403,5.635,14.0,15.0,-0.461,0.403,-0.849,-0.015,14.0,70.33,211.0,3.0,15.0,-0.015,-0.204,14.0,71.0,0.093,5.289,57.0,0.0,0.0,0.0,0.0,9835936.0,25.0,-16.0,48.41144200626957,-7.539999999999992
Padraig Harrington,71.4,357,5,2009,70.85,921,13,22.0,0.387,6.969,18.0,22.0,-0.621,-11.175,18.0,22.0,0.68,-0.621,0.619,0.682,18.0,71.4,357.0,5.0,22.0,0.682,12.281,18.0,66.0,0.471,22.612,48.0,0.0,0.0,0.0,0.0,17915250.0,5.0,-8.0,-260.0,-8.389999999999986
Y.E. Yang,71.4,357,5,2009,70.77,920,13,21.0,-0.129,-1.809,14.0,21.0,0.042,0.589,14.0,21.0,0.067,0.042,0.449,-0.424,14.0,72.2,361.0,5.0,21.0,-0.424,-5.935,14.0,83.0,0.386,26.991,70.0,1.0,1.0,0.0,0.0,4027577.0,150.0,0.0,-78.0,-1.1400000000000006
Robert Allenby,71.5,286,4,2009,68.38,547,8,17.0,-0.451,-7.214,16.0,17.0,0.511,8.17,16.0,17.0,2.045,0.511,1.518,0.017,16.0,70.25,281.0,4.0,17.0,0.017,0.267,16.0,71.0,1.015,56.86,56.0,1.0,0.0,0.0,0.0,21172329.0,29.0,-5.0,49.0,-1.8300000000000125
Brandt Snedeker,71.5,286,4,2009,72.24,1228,17,23.0,0.302,4.826,16.0,23.0,-0.271,-4.339,16.0,23.0,-0.263,-0.271,-0.019,0.027,16.0,72.5,290.0,4.0,23.0,0.027,0.434,16.0,81.0,0.03,1.96,65.0,0.0,0.0,0.0,0.0,5918588.0,91.0,0.0,-69.0,-2.6200000000000045
Ben Curtis,71.6,358,5,2009,70.83,850,12,23.0,0.588,12.35,21.0,23.0,0.088,1.846,21.0,23.0,-0.547,0.088,-0.625,-0.01,21.0,72.2,361.0,5.0,23.0,-0.01,-0.217,21.0,63.0,-0.642,-30.163,47.0,0.0,0.0,0.0,0.0,8980387.0,36.0,-15.0,-77.0,-3.510000000000005
Steve Flesch,71.75,287,4,2009,70.88,1205,17,21.0,-0.219,-3.499,16.0,21.0,-0.372,-5.95,16.0,21.0,0.165,-0.372,0.326,0.211,16.0,72.0,216.0,3.0,21.0,0.211,3.373,16.0,77.0,0.318,20.022,63.0,1.0,0.0,0.0,0.0,16995354.0,120.0,-38.0,-61.0,3.3699999999999903
Jim Furyk,71.75,287,4,2009,70.55,776,11,20.0,0.464,6.956,15.0,20.0,-0.276,-4.141,15.0,20.0,0.372,-0.276,0.243,0.405,15.0,70.0,280.0,4.0,20.0,0.405,6.081,15.0,86.0,0.557,36.235,65.0,2.0,0.0,0.0,1.0,42756341.0,15.0,-23.0,86.0,-12.180000000000007
Retief Goosen,72.0,432,6,2009,70.0,910,13,24.0,0.428,8.565,20.0,24.0,0.063,1.26,20.0,24.0,0.481,0.063,0.544,-0.126,20.0,72.83,437.0,6.0,24.0,-0.126,-2.528,20.0,74.0,0.178,9.991,56.0,2.0,1.0,0.0,1.0,22940019.0,21.0,-2.0,-29.0,41.28999999999999
Rocco Mediate,72.17,433,6,2009,70.08,841,12,23.0,0.08,1.522,19.0,23.0,-0.068,-1.301,19.0,23.0,0.344,-0.068,0.034,0.379,19.0,73.0,365.0,5.0,23.0,0.379,7.197,19.0,79.0,0.324,21.4,66.0,0.0,0.0,0.0,0.0,15275897.0,93.0,-9.0,1.0,-0.060000000000002274
Todd Hamilton,73.0,292,4,2009,71.62,1504,21,25.0,0.402,6.836,17.0,25.0,-0.228,-3.873,17.0,25.0,-0.5,-0.228,-0.19,-0.082,17.0,73.33,220.0,3.0,25.0,-0.082,-1.396,17.0,83.0,-0.512,-32.744,64.0,0.0,0.0,0.0,0.0,5088978.0,373.0,-13.0,36.0,-1.129999999999999
Billy Mayfair,73.5,294,4,2009,72.2,1444,20,26.0,-0.61,-14.029,23.0,26.0,-0.093,-2.131,23.0,26.0,-0.987,-0.093,-0.646,-0.248,23.0,74.0,222.0,3.0,26.0,-0.248,-5.698,23.0,83.0,-0.01,-0.69,69.0,0.0,0.0,0.0,0.0,18045465.0,131.0,0.0,-39.0,-3.240000000000009
Vijay Singh,73.5,294,4,2009,72.62,944,13,21.0,-1.359,-23.098,17.0,21.0,0.481,8.175,17.0,21.0,0.38,0.481,0.337,-0.438,17.0,72.0,288.0,4.0,21.0,-0.438,-7.45,17.0,71.0,0.319,16.286,51.0,0.0,0.0,0.0,0.0,61986127.0,7.0,-10.0,-24.0,-17.289999999999964
Stuart Appleby,73.67,442,6,2009,70.44,1127,16,29.0,-0.776,-20.961,27.0,29.0,-0.165,-4.458,27.0,29.0,0.664,-0.165,0.63,0.199,27.0,73.5,441.0,6.0,29.0,0.199,5.363,27.0,79.0,0.179,11.62,65.0,1.0,0.0,0.0,0.0,23757322.0,54.0,-12.0,-236.0,2.1700000000000017
Jim Furyk,67.8,339,5,2010,70.27,773,11,22.0,0.553,9.951,18.0,22.0,0.111,2.003,18.0,22.0,1.15,0.111,0.636,0.403,18.0,71.2,356.0,5.0,22.0,0.403,7.251,18.0,22.0,0.636,11.452,18.0,1.0,1.0,0.0,0.0,44117329.0,5.0,0.0,-215.0,51.68999999999997
Scott Verplank,68.2,341,5,2010,71.08,853,12,21.0,0.281,4.779,17.0,21.0,-0.425,-7.225,17.0,21.0,0.374,-0.425,0.821,-0.022,17.0,71.25,285.0,4.0,21.0,-0.022,-0.368,17.0,21.0,0.821,13.962,17.0,0.0,0.0,0.0,0.0,24751266.0,64.0,-21.0,41.0,-2.1500000000000057
Ryan Palmer,68.6,343,5,2010,71.29,1497,21,28.0,0.578,12.711,22.0,28.0,0.006,0.134,22.0,28.0,-0.503,0.006,0.11,-0.619,22.0,68.5,274.0,4.0,28.0,-0.619,-13.621,22.0,28.0,0.11,2.424,22.0,1.0,1.0,0.0,0.0,7560082.0,103.0,0.0,2.0,-2.200000000000003
Charl Schwartzel,68.67,206,3,2010,70.83,425,6,15.0,1.656,19.867,12.0,15.0,0.296,3.549,12.0,15.0,0.266,0.296,0.117,-0.147,12.0,71.0,213.0,3.0,15.0,-0.147,-1.76,12.0,15.0,0.117,1.405,12.0,3.0,0.0,1.0,1.0,0.0,23.0,-8.0,-266.58855799373043,13.810000000000002
Paul Casey,69.0,207,3,2010,69.5,417,6,18.0,0.708,8.493,12.0,18.0,0.094,1.133,12.0,18.0,1.114,0.094,0.706,0.314,12.0,68.33,205.0,3.0,18.0,0.314,3.763,12.0,18.0,0.706,8.468,12.0,4.0,0.0,1.0,0.0,6886300.0,6.0,0.0,-55.0,-12.389999999999986
Luke Donald,69.0,345,5,2010,70.67,1060,15,27.0,0.421,8.831,21.0,27.0,-0.706,-14.832,21.0,27.0,0.852,-0.706,0.906,0.652,21.0,70.2,351.0,5.0,27.0,0.652,13.691,21.0,27.0,0.906,19.032,21.0,3.0,0.0,1.0,0.0,16200632.0,22.0,0.0,-95.0,4.989999999999981
Matt Kuchar,69.0,414,6,2010,69.39,1249,18,31.0,0.547,13.682,25.0,31.0,0.279,6.986,25.0,31.0,0.942,0.279,0.179,0.483,25.0,67.5,405.0,6.0,31.0,0.483,12.072,25.0,31.0,0.179,4.484,25.0,4.0,0.0,1.0,2.0,9325970.0,34.0,-11.0,-50.0,2.8000000000000114
K.J. Choi,69.14,484,7,2010,69.33,1040,15,28.0,-0.06,-1.257,21.0,28.0,0.617,12.962,21.0,28.0,1.871,0.617,0.851,0.403,21.0,70.14,491.0,7.0,28.0,0.403,8.454,21.0,28.0,0.851,17.869,21.0,1.0,0.0,1.0,0.0,20701775.0,43.0,-30.0,-52.0,35.120000000000005
Vijay Singh,69.25,277,4,2010,69.55,765,11,19.0,-0.821,-13.135,16.0,19.0,0.565,9.042,16.0,19.0,1.823,0.565,0.883,0.374,16.0,71.5,286.0,4.0,19.0,0.374,5.99,16.0,19.0,0.883,14.131,16.0,1.0,0.0,0.0,0.0,62443635.0,36.0,0.0,-86.0,-10.75
John Senden,69.33,416,6,2010,70.24,1194,17,27.0,-0.114,-2.501,22.0,27.0,0.133,2.932,22.0,27.0,0.548,0.133,0.531,-0.116,22.0,72.0,432.0,6.0,27.0,-0.116,-2.554,22.0,27.0,0.531,11.673,22.0,0.0,0.0,0.0,0.0,10139202.0,75.0,-1.0,-79.0,0.4000000000000057
Camilo Villegas,69.33,208,3,2010,69.13,553,8,20.0,0.029,0.41,14.0,20.0,0.591,8.267,14.0,20.0,1.774,0.591,1.102,0.082,14.0,70.0,210.0,3.0,20.0,0.082,1.146,14.0,20.0,1.102,15.422,14.0,3.0,1.0,0.0,1.0,11952478.0,12.0,-8.0,12.0,-11.299999999999983
Chad Campbell,69.4,347,5,2010,70.13,1122,16,25.0,-0.071,-1.412,20.0,25.0,0.214,4.288,20.0,25.0,1.245,0.214,0.911,0.12,20.0,69.0,276.0,4.0,25.0,0.12,2.396,20.0,25.0,0.911,18.222,20.0,1.0,0.0,0.0,0.0,18623519.0,72.0,-17.0,-72.0,-3.780000000000001
Hunter Mahan,69.4,347,5,2010,70.93,1064,15,25.0,0.146,3.058,21.0,25.0,0.553,11.606,21.0,25.0,0.552,0.553,0.333,-0.333,21.0,71.6,358.0,5.0,25.0,-0.333,-7.0,21.0,25.0,0.333,6.984,21.0,1.0,1.0,0.0,0.0,11917203.0,21.0,-24.0,35.0,-4.760000000000019
Sergio Garcia,69.5,278,4,2010,71.0,639,9,22.0,-0.465,-6.503,14.0,22.0,-0.014,-0.198,14.0,22.0,0.671,-0.014,0.19,0.496,14.0,72.0,288.0,4.0,22.0,0.496,6.941,14.0,22.0,0.19,2.655,14.0,1.0,0.0,0.0,0.0,26211944.0,18.0,-9.0,-57.0,-14.669999999999987
Kenny Perry,69.5,278,4,2010,71.1,711,10,19.0,0.191,3.431,18.0,19.0,0.41,7.372,18.0,19.0,-0.132,0.41,-0.414,-0.127,18.0,71.5,286.0,4.0,19.0,-0.127,-2.293,18.0,19.0,-0.414,-7.447,18.0,1.0,0.0,0.0,0.0,30976375.0,19.0,-7.0,106.0,-14.379999999999995
Y.E. Yang,69.5,417,6,2010,71.36,999,14,28.0,0.293,7.609,26.0,28.0,0.407,10.58,26.0,28.0,0.338,0.407,0.113,-0.182,26.0,68.17,409.0,6.0,28.0,-0.182,-4.744,26.0,28.0,0.113,2.95,26.0,1.0,0.0,0.0,1.0,4843100.0,28.0,-18.0,-27.0,-4.599999999999994
Nick Watney,69.57,487,7,2010,70.88,1205,17,33.0,0.01,0.257,27.0,33.0,0.655,17.674,27.0,33.0,0.732,0.655,0.537,-0.459,27.0,70.43,493.0,7.0,33.0,-0.459,-12.401,27.0,33.0,0.537,14.496,27.0,3.0,0.0,0.0,0.0,8669017.0,32.0,-40.0,-52.0,10.030000000000001
Justin Leonard,69.6,348,5,2010,71.06,1137,16,25.0,-0.099,-2.075,21.0,25.0,-0.031,-0.651,21.0,25.0,0.809,-0.031,0.489,0.352,21.0,71.75,287.0,4.0,25.0,0.352,7.382,21.0,25.0,0.489,10.265,21.0,0.0,0.0,0.0,0.0,29573819.0,65.0,0.0,-164.0,-1.1600000000000108
Geoff Ogilvy,69.75,279,4,2010,70.5,705,10,20.0,0.745,13.409,18.0,20.0,-0.118,-2.124,18.0,20.0,-0.254,-0.118,-0.187,0.051,18.0,71.0,284.0,4.0,20.0,0.051,0.917,18.0,20.0,-0.187,-3.371,18.0,1.0,1.0,0.0,0.0,21487501.0,13.0,-14.0,-9.0,-9.849999999999994
Stewart Cink,69.8,349,5,2010,71.75,861,12,26.0,-0.304,-6.685,22.0,26.0,0.379,8.338,22.0,26.0,0.339,0.379,0.323,-0.363,22.0,70.6,353.0,5.0,26.0,-0.363,-7.985,22.0,26.0,0.323,7.116,22.0,2.0,0.0,0.0,0.0,28456645.0,24.0,0.0,-21.0,-10.169999999999987
Ernie Els,70.0,490,7,2010,69.57,974,14,30.0,0.698,18.836,27.0,30.0,0.504,13.62,27.0,30.0,1.361,0.504,0.624,0.232,27.0,69.14,484.0,7.0,30.0,0.232,6.27,27.0,30.0,0.624,16.845,27.0,4.0,2.0,0.0,0.0,38859198.0,8.0,-22.0,-131.0,51.24000000000001
Nathan Green,70.0,420,6,2010,70.56,1129,16,28.0,0.58,15.668,27.0,28.0,-0.403,-10.867,27.0,28.0,-0.323,-0.403,-0.053,0.133,27.0,72.67,436.0,6.0,28.0,0.133,3.578,27.0,28.0,-0.053,-1.42,27.0,1.0,0.0,0.0,0.0,5824194.0,165.0,-5.0,137.0,1.019999999999996
Bill Haas,70.0,350,5,2010,70.44,1268,18,27.0,-0.222,-5.11,23.0,27.0,0.332,7.626,23.0,27.0,0.99,0.332,0.87,-0.212,23.0,69.4,347.0,5.0,27.0,-0.212,-4.873,23.0,27.0,0.87,20.02,23.0,2.0,1.0,0.0,0.0,6064520.0,87.0,-12.0,-51.0,6.920000000000002
